All,Tümü
"Required parameters are missing: %1","Gereken bazı parametreler bulunamadı: %1"
"Customer Address %1 is set as default billing address and can not be deleted","Müşteri adresi %1 varsayılan fatura adresi olarak işaretlenmiş olduğu için silinemez"
"Customer Address %1 is set as default shipping address and can not be deleted","Müşteri adresi %1 varsayılan teslimat adresi olarak işaretlenmiş olduğu için silinemez"
"Could not find a address with ID ""%address_id""","""%address_id"" numaralı adres bulunamadı"
"Current customer does not have permission to address with ID ""%address_id""","Mevcut müşterinin ""%address_id"" numaralı adresi kullanma izni yok"
"The current customer isn't authorized.","Mevcut müşteri yetkili değil."
"Customer with id ""%customer_id"" does not exist.","""%customer_id"" numaralı müşteri bulunamadı."
"Provide the current ""password"" to change ""email"".","""Email"" değiştirmek için mevcut şifreyi giriniz."
"Specify the ""currentPassword"" value.","""currentPassword"" değeri belirtilmeli."
"Specify the ""newPassword"" value.","""newPassword"" değeri sağlanmalı."
"""input"" value should be specified","""input"" değeri belirtilmeli"
"Address ""id"" value should be specified","Adres ""id"" değeri belirtilmeli"
"Specify the ""email"" value.","""email"" değerini belirtin."
"Specify the ""password"" value.","""password"" değerini belirtin."
"""Email should be specified","""E-posta belirtilmeli"
"Please specify a website.","Lütfen bir web sitesi belirtin."
"Please specify an email.","Lütfen bir e-posta belirtin."
"We found an invalid value in a website column.","Bir web sitesi sütununda geçersiz bir değer bulduk."
"Please enter a valid email.","Lütfen geçerli bir e-posta adresi girin."
"Please make sure attribute ""%s"" is not empty.","Lütfen ""%s"" özelliğinin boş olmadığından emin olun."
"We can't find a customer who matches this email and website code.","Bu e-posta ve web sitesi koduyla eşleşen bir müşteri bulamıyoruz."
"Customer address id column is not specified","Müşteri adres kimliği sütunu belirtilmedi"
"We can't find that customer address.","Müşteri adresini bulamıyoruz."
"Please enter a valid region.","Lütfen geçerli bir bölge girin."
"We found another row with this email, website and address ID combination.","Bu eposta adresini, web sitesini ve adres kimliğini içeren başka bir satır daha bulduk."
"This email is found more than once in the import file.","Bu e-posta, içe aktarma dosyasında birden daha fazla bulunmuştur."
"Orphan rows that will be skipped due default row errors","Varsayılan satır hataları nedeniyle artık çizgiler yok sayılacak"
"Invalid value in Store column (store does not exists?)","Mağaza sütununda geçersiz değer (mağaza yok mu?)"
"We can't find that email and website combination.","Bu e-posta ve Web sitesi bileşimi bulamıyoruz."
"Please enter a password with a valid length.","Lütfen geçerli bir uzunlukta bir parola girin."
CSV,Csv
"An email wasn't specified. Enter the email and try again.","Bir e-mail belirtilmedi. E-mail adresi girip tekrar deneyiniz."
Segments,Bölümler
"Add Segment","Bölüm ekle"
"Refresh Segment Data","Segment Verilerini Yenile"
"Edit Segment '%1'","'%1' Segmentini Düzenle"
"New Segment","Yeni bölüm"
"Segment Information","Segment Bilgisi"
"* applicable to visitors and registered customers","* ziyaretçiler ve kayıtlı müşteriler için geçerli"
"General Properties","Genel Özellikler"
"Segment Name","Bölüm adı"
"Assigned to Website","Web Sitesine Atandı"
"Apply To",Uygula
"Visitors and Registered Customers","Ziyaretçiler ve Kayıtlı Müşteriler"
Visitors,Ziyaretçiler
"Please save this information to specify segmentation conditions.","Lütfen segmentasyon koşullarını belirtmek için bu bilgiyi kaydedin."
"Matched Customers (%1)","Eşleşen Müşteriler (%1)"
Segment,Bölüm
"Customer Segment Report","Müşteri Segmenti Raporu"
"Customer Segment Report '%1'","Müşteri Segmenti Raporu '%1'"
"Customer Segments Report","Müşteri Segmentleri Raporu"
"Please request the correct customer segment.","Lütfen doğru müşteri segmentini isteyin."
"You deleted the segment.","Segmenti siz sildiniz."
"Unable to delete the segment.","Segment silinemiyor."
"Customer Segments","Müşteri Segmentleri"
"Edit Segment","Bölümü düzenle"
"Segment Customers matching error","Segment Müşteriler hatayla eşleşiyor"
"You saved the segment.","Segmenti kaydettiniz."
"We can't save the segment right now.","Segmenti şu an kaydedemiyoruz."
Reports,Raporlar
"Viewing combined ""%1"" report from segments: %2.","Birleştirilmiş ""%1"" raporunu kesimlerden görüntüleme: %2."
"The Customer Segment data has been refreshed.","Müşteri Segmenti verileri yenilendi."
Union,Birlik
Intersection,Kesişim
"Applies to All of the Specified Customer Segments","Belirlenen Müşteri Segmentlerinin Tümüne Uygulanır"
"Apply to the Selected Customer Segments","Seçilen Müşteri Bölümlerine Uygula"
contains,içerir
"does not contains",içermez
"Matched %1 Customers of Segment %2","Eşleşen %1 Segmentin Müşterileri: %2"
"Unknown operator specified.","Bilinmeyen operatör belirtildi."
"Product List","Ürün listesi"
"Product History","Ürün Geçmişi"
"Wrong ""ApplyTo"" type","Yanlış ""UygulamaYeri"" türü"
"If Customer Addresses match %1 of these Conditions:","Müşteri Adresleri, bu Koşulların %1'i ile eşleşiyorsa:"
"Address Attributes","Adres Özellikleri"
"Customer Address %1","Müşteri Adresi %1"
"Default Address","Varsayılan Adres"
Billing,Fatura
"Customer Address %1 Default %2 Address","Müşteri Adresi %1 Varsayılan %2 Adres"
"Has State/Province",Eyalet/İl
"If Customer Address %1 State/Province specified","Müşteri Adresi %1 Eyalet/Bölge belirtilmişse"
has,vardır
"does not have",yoktur
exists,var
"does not exist",yok
"Customer %1","Müşteri %1"
"Newsletter Subscription","Duyuru Aboneliği"
"Customer is %1 to newsletter.","Müşteri bültene %1'dir."
subscribed,abone
"not subscribed","abone değil"
"Customer Store Credit Amount %1 %2:","Müşteri Mağazası Kredi Miktarı %1 %2:"
"Date Range","Tarih Aralığı"
"Open Chooser","Seçimi Aç"
"Date Range %1 within %2","Tarih Aralığı %1 içinde %2"
"If Order Addresses match %1 of these Conditions:","Sipariş Adresleri bu Koşulların %1'i ile eşleşirse:"
"Order Address Attributes","Sipariş Adresi Özellikleri"
"Order Address %1","Sipariş adresi %1"
"Address Type","Adres Tipi"
"Order Address %1 a %2 Address","Sipariş Adresi %1 a %2 Adres"
"Order Status","Sipariş Durumu"
"Order Status %1 %2:","Sipariş durumu %1 %2:"
"Product %1","Ürün %1"
"Date Ranges","Tarih aralığı"
viewed,inceledi
ordered,"sipariş edilmiş"
was,oldu
"was not"," değildi "
"If Product %1 %2 and matches %3 of these Conditions:","Ürün %1%2 ise ve bu Koşulların %3'ü ile eşleşirse:"
"Wish List","İstek listesi"
found,bulundu
"not found",bulunamadı
"If Product is %1 in the %2 with %3 of these Conditions match:","Bu Koşulların %3'ü ile %2'de Ürün %1 ise:"
"Order Address","Sipariş adresi"
"Sales Amount","Satış tutarı"
"Number of Orders","Sipariş Sayısı"
"Purchased Quantity","Satın Alınan Miktar"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4, bu Şartların %5'ini eşleştirirken:"
"If Customer Segment %1 %2","Müşteri Segmenti %1 %2 ise"
matches,maçlar
"does not match",Eşleşmiyor
"is one of","bunlardan biri"
"is not one of","bunlardan biri değil"
"Shopping Cart Total","Alışveriş Sepeti Toplam Tutarı"
"Grand Total","Genel Toplam"
"Gift Card","Hediye Kartı"
"Shopping Cart %1 Amount %2 %3:","Alışveriş sepeti %1 tutarı %2 %3:"
"Unknown quote total specified.","Bilinmeyen teklif toplamı belirtildi."
"Number of Cart Line Items","Sepet Satır Öğelerinin Numarası"
"Number of Shopping Cart Line Items %1 %2:","Alışveriş Sepeti Satır Öğelerinin Numarası %1 %2:"
"Products Quantity","Ürünler Miktarı"
"Shopping Cart Products Qty %1 %2:","Alışveriş Sepeti Ürünler Miktar %1 %2:"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"greater than","daha büyük"
"less than","daha küçük"
"Up To Date",Güncel
"Period %1 %2 Days Up To Date","Dönem %1 %2 Gün Son Güncelleme"
"Use in Customer Segment","Müşteri Bölümünde Kullanım"
"Enable Customer Segment Functionality","Müşteri Segmenti İşlevselliğini Etkinleştir"
"Refresh Data","Veriyi yenile"
"Manage Segments","Segmentleri Yönetin"
"View Combined Report","Birleşik Raporu Görüntüle"
"We're unable to delete the segement.","Segmenti silemiyoruz."
"Custom Condition","Özel koşul"
"The quote total specified is unknown. Verify the total and try again.","Belirtilen teklif toplamı bilinmiyor. Toplamı doğrulayın ve tekrar deneyin."
"AVS result code","AVS sonuç kodu"
"CVN result code","CVN sonuç kodu"
"Card number","Kart Numarasi"
"Card expiry date","Kart son kullanma tarihi"
Decision,Karar
"Risk Score","Risk Skoru"
"Risk Factor","Risk faktörü"
"Reference number","Referans numarası"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Aşırı adres değişikliği. Müşteri son altı ay içinde fatura adresini iki veya daha fazla kez değiştirdi"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Kart BIN veya yetkilendirme riski. Kredi kartı ile ilgili risk faktörleri BIN ve/veya kart yetkilendirme çekleri"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Çok sayıda hesap numarası. Müşteri son altı ayda altıdan fazla kredi kartı numarası kullandı"
"Email address impact. The customer uses a free email provider, or the email address is risky","Eposta adresi etkisi. Müşteri, ücretsiz bir eposta sağlayıcısı kullanıyor, veya e-posta adresi risklidir"
"Positive list. The customer is on your positive list. Decision Manager Developer Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Olumlu liste. Müşteri, olumlu listenizde. Decision Manager Developer Guide Basit Sipariş Kullanımı AP Ocak 201 10 Ek Bilgiler ve Yanıt Kodu"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Olumsuz liste. Bu siparişin hesap numarası, sokak ekleme özeti, e-posta adresi veya IP adresi negatif listenizde görünür"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Coğrafi konum uyuşmazlıkları. Müşterinin e-posta alan adı, telefon numarası, fatura adresi, gönderim adresi, veya IP adresi şüpheli"
"Excessive name changes. The customer changed the name two or more times in the last six months","Aşırı ad değişiklikleri. Müşteri adını son altı ay içinde iki veya daha fazla kez değiştirdi"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","İnternet tutarsızlıkları. IP adresi nd e-posta alanı, fatura adresiyle tutarlı değil"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Saçma saçma girdi. Müşteri adı ve adres alanları anlamsız kelimeler veya dil içeriyor"
"Obscenities. The customer’s input contains obscene words","Küfür. Müşterinin girişi müstehcen kelimeler içeriyor"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Kimlik değişimi. Bir kimlik öğesinin birden çok değeri, farklı bir kimlik öğesinin değerine bağlanır. Örneğin, m ltiple telefon numaraları tek bir hesap numarasına bağlıdır"
"Phone inconsistencies. The customer’s phone number is suspicious","Telefon tutarsızlıkları. Müşterinin telefon numarası şüpheli"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Riskli emir. İşlem, müşteri, ve satıcı bilgileri çok sayıda yüksek-riskli korelasyon gösterir"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Zaman hedge. Müşteri beklenen saatlerin dışında bir alışveriş yapmaya çalışıyor"
"Unverifiable address. The billing or shipping address cannot be verified","Tespit edilemeyen adres. Faturalandırma veya gönderim adresi doğrulanamıyor"
"Velocity. The account number was use  many times in the past 15 minutes","Hız. Hesap numarası  son 15 dakika içinde bir çok kez kullanıldı"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Şüpheli olarak işaretlendi. Fatura veya gönderim adresi, daha önce şüpheli olarak işaretlenmiş bir adrese benzemektedir"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Hediye Siparişi. Fatura ve sevkiyat adreslerinin sokak adresi, şehri, eyaleti veya ülkesi birbiriyle ilişkili değildir"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Geçersiz değer. İstek beklenmedik bir değer içerdiğinden varsayılan bir değer yerini alıyordu. İşlem yine de işlenebilir olsa da, siparişteki anormallikler için talebi dikkatle inceleyin"
"Unknown factor. Please contact Cybersource customer service","Bilinmeyen faktör. Lütfen Cybersource müşteri hizmetleri ile iletişime geçin"
"Payment Token Build Error.","Ödeme Simgesi Oluşturma Hatası."
"Your payment has been declined. Please try again.","Ödemeniz reddedildi. Lütfen tekrar deneyin."
"CC type field should be provided","CC türü sağlanmalıdır"
"Gateway validation error","Ağ geçidi doğrulama hatası"
"Risk Factor Q","Risk Faktörü Q"
"Risk Factor V","Risk Faktörü V"
"Profile ID","Profil Kimliği"
"Access Key","Erişim Anahtarı"
"Secret Key","Gizli anahtar"
"Webhook URL","Webhook URL'si"
"Webhook URL should be set in your Cybersource account as Transaction Response Page.","Webhook URL'si, Cybersource hesabınızda İşlem Yanıt Sayfası olarak ayarlanmalıdır."
"Is admin panel works on the different domain?","Yönetici paneli farklı etki alanında çalışıyor mu?"
"Admin Profile ID","Yönetici Profili Kimliği"
"Admin Access Key","Yönetici Erişim Anahtarı"
"Admin Secret Key","Yönetici Gizli Anahtarı"
"Admin Webhook URL","Yönetici Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","Kredi kartı tipi alanı sağlanmalıdır. Alanı seçip tekrar deneyin."
"Import failed: %1","İçe aktarma başarısız: %1"
"%1 does not implement %2","%2 uygulamadı %1"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Dosya app/etc/%1 okunamıyor. Lütfen dosya varlığını ve okuma izinlerini kontrol edin."
"There are no sensitive configurations to fill","Doldurulacak hassas ayarlar yok"
"Value can't be empty","Değeri boş olamaz"
"A configuration with this path does not exist or is not sensitive","Bu yolla bir yapılandırma yok veya hassas değil"
"Cannot switch into given mode ""%1""","Verilen %1 moduna geçiş yapılamıyor"
"Wrong logger interface specified.","Hatalı kullanıcı arabirimi belirtildi."
"Hash has not been saved.","Hash kodu kaydedilmedi."
"Parameter ""importer_class"" must be present.","Mevcut parametre ""importer_must"" olmalıdır."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Yapılandırma dosyası değiştirildi. Yapılandırmayı senkronize etmek için app:config:import veya setup:upgrade komutunu çalıştırın."
"Wrong type specified: '%1'","Hata türü belirtildi: '%1'"
"Wrong queue type specified.","Hatalı sıra türü belirtildi."
"Compilation from source: ","Kaynaktan derleyin: "
"Wrong deploy strategy type: %1","Strateji türü yanlış yayımlandı: %1"
"some message","herhangi bir mesaj"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","""%1"" tipi için sınıf bildirilmedi. Sınıf girip tekrar deneyiniz."
"The value can't be empty. Enter the value and try again.","Değer boş olamaz. Değeri girip tekrar deneyiniz."
"The mode can't be switched to ""%1"".","Mod ""%1"" konumuna getirilemiyor."
"The hash isn't saved.","Hash kaydedilemedi."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","""importer_class"" parametresi eksik. ""importer_class"" 'ı ayarlayıp tekrar deneyiniz."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","Yapılandırma dosyası değişti. Yapılandırmayı senkronize etmek için konsol uygulamasında ""app:config:import"" veya ""setup:upgrade"" komutunu çalıştırın."
"Format for IDE '%1' is not supported","IDE '%1' biçimi desteklenmiyor"
"Client side compilation doesn't work in production mode","Üretim modunda istemci tarafında derleme çalışmıyor"
"Client side less compilation","İstemci tarafından daha az derleme"
"Server side less compilation","Ağ tarafından daha az derleme"
"Frontend Development Workflow","İş akışı Geliştirme Arabirimi"
"Workflow type","İş akışı türü"
"Not available in production mode","Üretim modunda kullanılamaz"
"Developer Client Restrictions","Geliştirici İstemcisi Kısıtlamaları"
"Allowed IPs (comma separated)","İzin veriler IP Adresleri (virgülle ayrılmış)"
"Leave empty for access from any location.","Her yerden erişebilmek için bu alanı boş bırakınız."
"Log to File","Dosya günlüğü"
"Not available in production mode.","Üretim modunda kullanılamaz."
"Front-end development workflow","Ön uç geliştirme iş akışı"
"Magento was installed with a table prefix. Please re-install without prefix.","Magento kurulurken bir tablo ön eki kullanılmış. Ön ek olmayacak şekilde yeniden kurmanız gerekiyor."
Syslog,"Sistem günlüğü"
"Log to Syslog","Günlükleri Sistem günlüğüne kaydet"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","DHL %1 %2 aşıyorsa sipariş bölerek nakliye masraflarının optimize etmeye izin vermek için bunu seçin."
"Wrong Content Type","İçerik Türü Yanlış"
Pounds,Pound
Kilograms,Kilogram
Inches,İnç
Centimeters,Santimetre
inch,inç
Height,Yükseklik
Depth,Derinlik
Width,Genişlik
Regular,Düzenli
Specific,Özel
"Easy shop","Kolay Alışveriş"
Sprintline,"Sprint hattı"
Secureline,"Güvenli hat"
"Express easy","Ekspres kolay"
"Break bulk express","Toplu ekspres paketini parçala"
"Medical express","Medikal ekspres"
"Express worldwide","Ekspres uluslararası"
"Express 9:00","Ekspres 9:00"
"Express 10:30","Ekspres 10:30"
"Domestic economy select","Yurtiçi ekonomik seçim"
"Economy select","Ekonomik seçim"
"Domestic express 9:00","Yurtiçi ekspres 9:00"
"Domestic express","Yurtiçi ekspres"
Others,Diğerleri
"Globalmail business","Globalmail iş"
"Same day","Aynı gün"
"Express 12:00","Ekspres 12:00"
"Express envelope","Ekspres zarf"
"Domestic express 12:00","Yurtiçi ekspres 12:00"
Jetline,"Jet hattı"
"Freight worldwide","Uluslararası Taşıma"
"Jumbo box","Jumbo kutu"
"DHL service is not available at %s date","DHL servisi is % tarihinde kullanılamaz."
"The response is in wrong format.","Hatalı cevap biçimi."
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","DHL yöntemini%1 atlamak zorundaydık, çünkü%2 döviz kurunu bulamadık (Baz Para Birimi)."
"Zero shipping charge for '%1'","'%1' için ücretsiz gönderim"
"Cannot identify measure unit for %1","%1 için ölçü birimi belirlenemiyor"
"Cannot identify weight unit for %1","%1 için ağırlık birimi belirlenemiyor"
"There is no items in this order","Bu siparişte hiç ürün yok"
"Please specify origin country.","Lütfen ülke menşei belirtiniz."
Documents,Dokümanlar
"Non Documents","Bulunmayan Belgeler"
"Height, width and length should be equal or greater than %1","Yükseklik, genişlik ve uzunluk %1'e eşit veya bundan büyük olmalı"
"Wrong Region","Yanlış bölge"
"Unable to retrieve tracking","İzleme bilgisi alınamadı"
"Response is in the wrong format","Cevap hatalı formattadır"
"Error #%1 : %2","Hata #%1 : %2"
"No packages for request","İstek için paket yok"
"Unable to retrieve shipping label","Gönderi etiketi geri alınamadı"
"Non documents","Bulunmayan Belgeler"
"Security validation of XML document has been failed.","XML belgesinin güvenlik doğrulaması başarısız oldu."
"The response is in the wrong format","Format yanıt biçimi hatalı"
"Enabled for Checkout","Alışveriş için Aktif edildi"
"Access ID","Erişim No"
"Account Number","Hesap Numarası"
"Content Type","İçerik Tipi"
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Handling Applied","Teslim Alma Uygulandı"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Sipariş Başına"" siparişin tamamı için tek bir işlem ücreti sağlar. ""Paket Başına"" her paket için ayrı bir taşıma ücreti sağlar."
"Handling Fee","Teslim Alma Ücreti"
"Divide Order Weight","Sipariş Ağırlığını Böl"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","DHL adına sipariş 70 kg'ı aşarsa, bölme yaparak nakliye ücretlerini optimize etmesini sağlamak için seçiniz."
"Weight Unit","Ağırlık Birimi"
Size,Boyut
"Allowed Methods","İzin Verilen Yöntemler"
"Displayed Error Message","Gösterilen hata mesajı"
"Free Method","Ücretsiz Yöntem"
"Enable Free Shipping Threshold","Ücretsiz Nakliye Eşiği'ni etkinleştirin"
"Free Shipping Amount Threshold","Ücretsiz Nakliye Tutarı Eşiği"
"Ship to Applicable Countries","Mümkün olan Tüm Ülkelere Teslimat"
"Ship to Specific Countries","Sadece Belirlenen Ülkelere Teslimat"
"Show Method if Not Applicable","Uygun Olmadığında da Yöntemi Göster"
"Break bulk economy","Toplu ekonomi paketini parçala"
"Customer services","Müşteri hizmetleri"
"Please, specify origin country","Lütfen çıkış ülkesini tanımlayınız"
"Ready time","Hazır olma zamanı"
"Package ready time after order submission (in hours)","Sipariş verildikten sonra paketin hazır olma süresi ( saat bazında)"
"The security validation of the XML document has failed.","XML belgesi için güvenlik doğrulaması başarısız oldu."
"Content Type (Non Domestic)","İçerik Türü (Yurtiçi Olmayan)"
"Documents Allowed Methods","Döküman için izin verilen yöntemler"
"Non Documents Allowed Methods","Döküman olmayan paketler için izin verilen yöntemler"
"Requested country is not available.","Talep edilen ülke mevcut değil."
"Undefined rate from ""%1-%2"".","Tanımsız oran ""%1-%2"" 'den."
"Please correct the target currency.","Lütfen hedef para birimini düzeltin."
"We can't retrieve a rate from %1 for %2.","Lütfen doğru İthalat Hizmetini belirtin."
"We can't retrieve a rate from %1.","%1'den bir oran alınamıyor."
"FATAL ERROR:","KURTARILAMAZ HATA:"
"Please specify the correct Import Service.","Lütfen doğru İthalat Hizmetini belirtin."
WARNING:,UYARI:
"Please correct the country code: %1.","Lütfen ülke kodunu düzeltin: %1."
"Country and Format Type combination should be unique","Ülke ve format bilgileri eşsiz olmalıdır"
"Please correct the rates received","Lütfen alınan oranları düzeltin"
"Your current currency is: %1.","Geçerli para biriminiz: %1."
Continue,"Devam et"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"Currency Setup","Para Birimi Ayarları"
"Currency Options","Para Birimi Seçenekleri"
"Base Currency","Ana Para Birimi"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Temel para birimi, tüm çevrim içi ödeme işlemlerinde kullanılır. Temel para biriminin kapsamı, katalog fiyat kapsamı (""Katalog"" > ""Fiyat"" > ""Katalog Fiyat Kapsamı"") tarafından tanımlanır."
"Default Display Currency","Varsayılan Para birimini Göster"
"Allowed Currencies","İzin Verilen Para Birimleri"
"Yahoo Finance Exchange","Yahoo Finans Borsası"
"Connection Timeout in Seconds","Bağlantı Zaman Aşımı ( sn)"
"Scheduled Import Settings","Zamanlanmış İçeri Aktarma Ayarları"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
Service,Servis
"Installed Currencies","Yüklenmiş Para Birimleri"
"Zip/Postal Code is Optional for","Zip / Posta Kodu İsteğe bağlıdır"
"State Options","Yerel Seçenekler"
"State is Required for","İl alanını doldurmalısın"
"Allow to Choose State if It is Optional for Country","İsteğe bağlı bir Ülke var ise bölge seçmeye izin ver"
"Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Tüm çevrimiçi ödeme işlemlerinde temel para birimi kullanılır. Eğer birden fazla mağaza görüntünüz varsa, bu temel para birimi kapsamı katalog ödeme kapsamı tarafından tanımlanır (""Katalog"" > ""Fiyat"" > ""Katalog Fiyat Kapsamı"")."
"No API Key was specified or an invalid API Key was specified.","Bir API anahtar kelimesi girilmedi ya da girilen değer yanlış."
"The account this API request is coming from is inactive.","Bu API isteğinin geldiği hesap aktif değil."
"The ""%1"" is not allowed as base currency for your subscription plan.","Aboneliğiniz dahilinde ""%1"" dövizi ana para birimi olarak kullanılamıyor."
"An invalid base currency has been entered.","Ana para birimi olarak yanlış para birimi girildi."
"Currency rates can't be retrieved.","Döviz kur bilgisi çekilemedi."
"API Key","API anahtarı"
"The country isn't available.","Ülke mevcut değil."
"Currency Converter API","Döviz Çevrim API'si"
"Document is not saved due to error.","Belge bir hata nedeniyle kaydedilmedi."
"More than one node matching the query: %1","Sorguyla eşleşen birden fazla düğüm: %1"
"Invalid Document \n%1","Geçersiz belge \n%1"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Add New Link","Yeni bağlantı ekle"
"Upload Files","Dosya Yükle"
Unlimited,Sınırsız
"Something went wrong while getting the requested content.","İstenen içerik alınırken bir şeyler ters gitti."
"My Downloadable Products","İndirilebilir Ürünlerim"
"We can't find the link you requested.","İstediğiniz bağlantıyı bulamıyoruz."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Ürününüzü indirmek veya <a href=""%1"">%2</a> ürününü satın almak için lütfen giriş yapın."
"Please sign in to download your product.","Ürününüzü indirmek için lütfen giriş yapın."
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı uygun değildir."
"Sorry, there was an error getting requested content. Please contact the store owner.","Üzgünüz, ulaşmaya çalıştığınız içeriğe ulaşılamıyor. Lütfen site yönetimi ile irtibata geçiniz."
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Provided content must be valid base64 encoded data.","Sağlanan içerik geçerli base64 kodlanmış veri olmalıdır."
"Provided file name contains forbidden characters.","Sağlanan dosya adı yasak karakterler içeriyor."
"Link file not provided","Bağlantı dosyası sağlanmadı"
"Link price must have numeric positive value.","Bağlantı fiyatı, sayısal pozitif bir değere sahip olmalıdır."
"Number of downloads must be a positive integer.","İndirme sayısı pozitif bir tamsayı olmalıdır."
"Sort order must be a positive integer.","Seçim düzeni pozitif bir tam sayı olmalıdır."
"Link URL must have valid format.","Bağlantı URL'si geçerli bir biçimde olmalıdır."
"Provided file content must be valid base64 encoded data.","Sağlanan dosya içeriği geçerli base64 kodlanmış veri olmalıdır."
"Sample URL must have valid format.","Örnek URL geçerli bir biçimde olmalıdır."
"Order id cannot be null","Sipariş no alanı boş olmamalıdır"
"Order item id cannot be null","Sipariş satır numarası boş olmamalıdır"
"Provided product must be type 'downloadable'.","Sağlanan ürün 'indirilebilir' olmalıdır."
"Provided link information is invalid.","Sağlanan bağlantı bilgileri geçerli değil."
"Invalid link type.","Geçersiz bağlantı türü."
"Link title cannot be empty.","Bağlantı başlığı boş olamaz."
"There is no downloadable link with provided ID.","Varolan kimlik ile indirelibilir kimlik yoktur."
"Provided downloadable link is not related to given product.","Sağlanan indirilebilir link ürün ile ilişkili değildir."
"Cannot delete link with id %1","% 1 kimliği olan bağlantı silinemiyor"
"Please specify product link(s).","Lütfen ürün linklerini belirleyiniz."
"Sample file not provided","Örnek dosya sağlanmadı"
"Provided sample information is invalid.","Sağlanan örnek bilgiler geçerli değil."
"Invalid sample type.","Geçersiz örnek türü."
"Sample title cannot be empty.","Örnek başlık boş olamaz."
"There is no downloadable sample with provided ID.","Verilen kimliğe sahip indirilebilir bir örnek yok."
"Provided downloadable sample is not related to given product.","Sağlanan indirilebilir örnek ürün ile ilişkili değildir."
"Cannot delete sample with id %1","% 1 kimliği olan örnek silinemiyor"
attachment,"ekli dosya"
inline,iç
Pending,Bekliyor
"To enable the option set the weight to no","Bu seçeneği etkinleştirmek için ağırlıkları hayır olarak ayarlayın"
"Is this downloadable Product?","Bu indirilebilir Ürün mü?"
Links,Bağlantılar
"Links can be purchased separately","Bağlantılar ayrı ayrı satın alınabilir"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanümerik, tire ve alt çizgi karakterleri dosya adları için tavsiye edilir. Yanlış karakterler '_' ile değiştirilir."
"Add Link","Bağlantı Ekleyin"
Sample,Örnek
Shareable,Paylaşılabilir
"Max. Downloads","En fazla İndirme"
Samples,Örnekler
sample,Örnek
"Is this a downloadable Product?","Bu ürün indirilebilir mi?"
"Add links to your product files here.","Buradaki ürün dosyaların için bağlantı ekle."
"Attach File or Enter Link","Giriş Bağlantısı için Dosya Ekleyin"
"Add product preview files here.","Buraya ön izleme ürün dosyaları ekle."
"Unselect all","Tüm seçimi kaldır"
"Go to <a href=""%1"">My Downloadable Products</a>","<a href=""%1""> İndirilebilir Ürünlerim </a> 'e gidin"
